x0000,y0000,y_tun
0,6.16E-08,0.0616
0.000000001,1.16E-07,0.1156
0.000000002,1.63E-07,0.1628
0.000000003,0.000000204,0.204
0.000000004,2.40E-07,0.2398
0.000000005,2.71E-07,0.2709
0.000000006,2.98E-07,0.2978
0.000000007,3.21E-07,0.3208
0.000000008,3.41E-07,0.3406
0.000000009,3.57E-07,0.3574
0.00000001,3.72E-07,0.3715
0.000000011,3.83E-07,0.3833
0.000000012,0.000000393,0.393
0.000000013,4.01E-07,0.4009
0.000000014,4.07E-07,0.4072
0.000000015,0.000000412,0.412
0.000000016,4.16E-07,0.4156
0.000000017,0.000000418,0.418
0.000000018,4.19E-07,0.4194
0.000000019,0.00000042,0.42
0.00000002,4.20E-07,0.4198
0.000000021,4.19E-07,0.4189
0.000000022,4.18E-07,0.4175
0.000000023,4.16E-07,0.4155
0.000000024,4.13E-07,0.4131
0.000000025,4.10E-07,0.4102
0.000000026,4.07E-07,0.4071
0.000000027,4.04E-07,0.4036
0.000000028,4.00E-07,0.3999
0.000000029,0.000000396,0.396
0.00000003,3.92E-07,0.3919
0.000000031,3.88E-07,0.3877
0.000000032,3.83E-07,0.3833
0.000000033,3.79E-07,0.3788
0.000000034,3.74E-07,0.3743
0.000000035,3.70E-07,0.3696
0.000000036,0.000000365,0.365
0.000000037,3.60E-07,0.3602
0.000000038,3.56E-07,0.3555
0.000000039,3.51E-07,0.3507
0.00000004,0.000000346,0.346
0.000000041,3.41E-07,0.3412
0.000000042,3.37E-07,0.3365
0.000000043,3.32E-07,0.3318
0.000000044,3.27E-07,0.3271
0.000000045,3.22E-07,0.3224
0.000000046,3.18E-07,0.3177
0.000000047,3.13E-07,0.3131
0.000000048,3.09E-07,0.3086
0.000000049,3.04E-07,0.3041
0.00000005,3.00E-07,0.2996
0.000000051,2.95E-07,0.2952
0.000000052,2.91E-07,0.2908
0.000000053,2.87E-07,0.2865
0.000000054,2.82E-07,0.2822
0.000000055,2.78E-07,0.2779
0.000000056,2.74E-07,0.2738
0.000000057,2.70E-07,0.2697
0.000000058,2.66E-07,0.2656
0.000000059,2.62E-07,0.2616
0.00000006,2.58E-07,0.2576
0.000000061,2.54E-07,0.2537
0.000000062,2.50E-07,0.2499
0.000000063,2.46E-07,0.2461
0.000000064,2.42E-07,0.2423
0.000000065,2.39E-07,0.2386
0.000000066,0.000000235,0.235
0.000000067,2.31E-07,0.2314
0.000000068,2.28E-07,0.2279
0.000000069,2.24E-07,0.2244
0.00000007,0.000000221,0.221
0.000000071,2.18E-07,0.2176
0.000000072,2.14E-07,0.2142
0.000000073,0.000000211,0.211
0.000000074,2.08E-07,0.2077
0.000000075,2.05E-07,0.2045
0.000000076,2.01E-07,0.2014
0.000000077,1.98E-07,0.1983
0.000000078,1.95E-07,0.1953
0.000000079,1.92E-07,0.1923
0.00000008,1.89E-07,0.1893
0.000000081,1.86E-07,0.1864
0.000000082,1.84E-07,0.1836
0.000000083,1.81E-07,0.1807
0.000000084,0.000000178,0.178
0.000000085,1.75E-07,0.1752
0.000000086,1.73E-07,0.1725
0.000000087,1.70E-07,0.1699
0.000000088,1.67E-07,0.1673
0.000000089,1.65E-07,0.1647
0.00000009,1.62E-07,0.1622
0.000000091,1.60E-07,0.1597
0.000000092,1.57E-07,0.1572
0.000000093,1.55E-07,0.1548
0.000000094,1.52E-07,0.1524
0.000000095,1.50E-07,0.1501
0.000000096,1.48E-07,0.1478
0.000000097,1.46E-07,0.1455
0.000000098,1.43E-07,0.1433
0.000000099,1.41E-07,0.1411
0.0000001,1.39E-07,0.1389
0.000000101,1.37E-07,0.1368
0.000000102,1.35E-07,0.1346
0.000000103,1.33E-07,0.1326
0.000000104,1.31E-07,0.1305
0.000000105,1.29E-07,0.1285
0.000000106,1.27E-07,0.1266
0.000000107,1.25E-07,0.1246
0.000000108,1.23E-07,0.1227
0.000000109,1.21E-07,0.1208
0.00000011,1.19E-07,0.1189
0.000000111,1.17E-07,0.1171
0.000000112,1.15E-07,0.1153
0.000000113,1.14E-07,0.1135
0.000000114,1.12E-07,0.1118
0.000000115,1.10E-07,0.1101
0.000000116,1.08E-07,0.1084
0.000000117,1.07E-07,0.1067
0.000000118,1.05E-07,0.1051
0.000000119,1.04E-07,0.1035
0.00000012,1.02E-07,0.1019
0.000000121,1.00E-07,0.1003
0.000000122,9.88E-08,0.0988
0.000000123,9.72E-08,0.0972
0.000000124,9.57E-08,0.0957
0.000000125,9.43E-08,0.0943
0.000000126,9.28E-08,0.0928
0.000000127,9.14E-08,0.0914
0.000000128,0.00000009,0.09
0.000000129,8.86E-08,0.0886
0.00000013,8.72E-08,0.0872
0.000000131,8.59E-08,0.0859
0.000000132,8.46E-08,0.0846
0.000000133,8.33E-08,0.0833
0.000000134,0.000000082,0.082
0.000000135,8.07E-08,0.0807
0.000000136,7.95E-08,0.0795
0.000000137,7.83E-08,0.0783
0.000000138,7.71E-08,0.0771
0.000000139,7.59E-08,0.0759
0.00000014,7.47E-08,0.0747
0.000000141,7.36E-08,0.0736
0.000000142,7.24E-08,0.0724
0.000000143,7.13E-08,0.0713
0.000000144,7.02E-08,0.0702
0.000000145,6.91E-08,0.0691
0.000000146,6.81E-08,0.0681
0.000000147,0.000000067,0.067
0.000000148,0.000000066,0.066
0.000000149,0.000000065,0.065
0.00000015,0.000000064,0.064
0.000000151,0.000000063,0.063
0.000000152,0.000000062,0.062
0.000000153,6.11E-08,0.0611
0.000000154,6.01E-08,0.0601
0.000000155,5.92E-08,0.0592
0.000000156,5.83E-08,0.0583
0.000000157,5.74E-08,0.0574
0.000000158,5.65E-08,0.0565
0.000000159,5.56E-08,0.0556
0.00000016,5.48E-08,0.0548
0.000000161,5.39E-08,0.0539
0.000000162,5.31E-08,0.0531
0.000000163,5.23E-08,0.0523
0.000000164,5.15E-08,0.0515
0.000000165,5.07E-08,0.0507
0.000000166,4.99E-08,0.0499
0.000000167,4.92E-08,0.0492
0.000000168,4.84E-08,0.0484
0.000000169,4.77E-08,0.0477
0.00000017,4.69E-08,0.0469
0.000000171,4.62E-08,0.0462
0.000000172,4.55E-08,0.0455
0.000000173,4.48E-08,0.0448
0.000000174,4.41E-08,0.0441
0.000000175,4.34E-08,0.0434
0.000000176,4.28E-08,0.0428
0.000000177,4.21E-08,0.0421
0.000000178,4.14E-08,0.0414
0.000000179,4.08E-08,0.0408
0.00000018,4.02E-08,0.0402
0.000000181,3.96E-08,0.0396
0.000000182,0.000000039,0.039
0.000000183,3.84E-08,0.0384
0.000000184,3.78E-08,0.0378
0.000000185,3.72E-08,0.0372
0.000000186,3.66E-08,0.0366
0.000000187,0.000000036,0.036
0.000000188,3.55E-08,0.0355
0.000000189,3.49E-08,0.0349
0.00000019,3.44E-08,0.0344
0.000000191,3.39E-08,0.0339
0.000000192,3.34E-08,0.0334
0.000000193,3.28E-08,0.0328
0.000000194,3.23E-08,0.0323
0.000000195,3.18E-08,0.0318
0.000000196,3.14E-08,0.0314
0.000000197,3.09E-08,0.0309
0.000000198,3.04E-08,0.0304
0.000000199,2.99E-08,0.0299
0.0000002,2.95E-08,0.0295
0.000000201,0.000000029,0.029
0.000000202,2.86E-08,0.0286
0.000000203,2.81E-08,0.0281
0.000000204,2.77E-08,0.0277
0.000000205,2.73E-08,0.0273
0.000000206,2.69E-08,0.0269
0.000000207,2.64E-08,0.0264
0.000000208,0.000000026,0.026
0.000000209,2.56E-08,0.0256
0.00000021,2.52E-08,0.0252
0.000000211,2.48E-08,0.0248
0.000000212,2.45E-08,0.0245
0.000000213,2.41E-08,0.0241
0.000000214,2.37E-08,0.0237
0.000000215,2.34E-08,0.0234
0.000000216,0.000000023,0.023
0.000000217,2.26E-08,0.0226
0.000000218,2.23E-08,0.0223
0.000000219,2.19E-08,0.0219
0.00000022,2.16E-08,0.0216
0.000000221,2.13E-08,0.0213
0.000000222,0.000000021,0.021
0.000000223,2.06E-08,0.0206
0.000000224,2.03E-08,0.0203
0.000000225,0.00000002,0.02
0.000000226,1.97E-08,0.0197
0.000000227,1.94E-08,0.0194
0.000000228,1.91E-08,0.0191
0.000000229,1.88E-08,0.0188
0.00000023,1.85E-08,0.0185
0.000000231,1.82E-08,0.0182
0.000000232,1.79E-08,0.0179
0.000000233,1.77E-08,0.0177
0.000000234,1.74E-08,0.0174
0.000000235,1.71E-08,0.0171
0.000000236,1.69E-08,0.0169
0.000000237,1.66E-08,0.0166
0.000000238,1.63E-08,0.0163
0.000000239,1.61E-08,0.0161
0.00000024,1.59E-08,0.0159
0.000000241,1.56E-08,0.0156
0.000000242,1.54E-08,0.0154
0.000000243,1.51E-08,0.0151
0.000000244,1.49E-08,0.0149
0.000000245,1.47E-08,0.0147
0.000000246,1.44E-08,0.0144
0.000000247,1.42E-08,0.0142
0.000000248,0.000000014,0.014
0.000000249,1.38E-08,0.0138
0.00000025,1.36E-08,0.0136
0.000000251,1.34E-08,0.0134
0.000000252,1.32E-08,0.0132
0.000000253,0.000000013,0.013
0.000000254,1.28E-08,0.0128
0.000000255,1.26E-08,0.0126
0.000000256,1.24E-08,0.0124
0.000000257,1.22E-08,0.0122
0.000000258,0.000000012,0.012
0.000000259,1.18E-08,0.0118
0.00000026,1.16E-08,0.0116
0.000000261,1.14E-08,0.0114
0.000000262,1.13E-08,0.0113
0.000000263,1.11E-08,0.0111
0.000000264,1.09E-08,0.0109
0.000000265,1.08E-08,0.0108
0.000000266,1.06E-08,0.0106
0.000000267,1.04E-08,0.0104
0.000000268,1.03E-08,0.0103
0.000000269,1.01E-08,0.0101
0.00000027,0.00000001,0.01
0.000000271,9.80E-09,0.0098
0.000000272,9.70E-09,0.0097
0.000000273,9.50E-09,0.0095
0.000000274,9.40E-09,0.0094
0.000000275,9.20E-09,0.0092
0.000000276,9.10E-09,0.0091
0.000000277,8.90E-09,0.0089
0.000000278,8.80E-09,0.0088
0.000000279,8.70E-09,0.0087
0.00000028,8.50E-09,0.0085
0.000000281,8.40E-09,0.0084
0.000000282,8.30E-09,0.0083
0.000000283,8.10E-09,0.0081
0.000000284,0.000000008,0.008
0.000000285,7.90E-09,0.0079
0.000000286,7.80E-09,0.0078
0.000000287,7.60E-09,0.0076
0.000000288,7.50E-09,0.0075
0.000000289,7.40E-09,0.0074
0.00000029,7.30E-09,0.0073
0.000000291,7.20E-09,0.0072
0.000000292,7.10E-09,0.0071
0.000000293,0.000000007,0.007
0.000000294,6.90E-09,0.0069
0.000000295,6.80E-09,0.0068
0.000000296,6.70E-09,0.0067
0.000000297,6.50E-09,0.0065
0.000000298,6.40E-09,0.0064
0.000000299,6.30E-09,0.0063
0.0000003,6.30E-09,0.0063
0.000000301,6.20E-09,0.0062
0.000000302,6.10E-09,0.0061
0.000000303,0.000000006,0.006
0.000000304,5.90E-09,0.0059
0.000000305,5.80E-09,0.0058
0.000000306,5.70E-09,0.0057
0.000000307,5.60E-09,0.0056
0.000000308,5.50E-09,0.0055
0.000000309,5.40E-09,0.0054
0.00000031,5.40E-09,0.0054
0.000000311,5.30E-09,0.0053
0.000000312,5.20E-09,0.0052
0.000000313,5.10E-09,0.0051
0.000000314,0.000000005,0.005
0.000000315,0.000000005,0.005
0.000000316,4.90E-09,0.0049
0.000000317,4.80E-09,0.0048
0.000000318,4.70E-09,0.0047
0.000000319,4.70E-09,0.0047
0.00000032,4.60E-09,0.0046
0.000000321,4.50E-09,0.0045
0.000000322,4.40E-09,0.0044
0.000000323,4.40E-09,0.0044
0.000000324,4.30E-09,0.0043
0.000000325,4.20E-09,0.0042
0.000000326,4.20E-09,0.0042
0.000000327,4.10E-09,0.0041
0.000000328,4.10E-09,0.0041
0.000000329,0.000000004,0.004
0.00000033,3.90E-09,0.0039
0.000000331,3.90E-09,0.0039
0.000000332,3.80E-09,0.0038
0.000000333,3.70E-09,0.0037
0.000000334,3.70E-09,0.0037
0.000000335,3.60E-09,0.0036
0.000000336,3.60E-09,0.0036
0.000000337,3.50E-09,0.0035
0.000000338,3.50E-09,0.0035
0.000000339,3.40E-09,0.0034
0.00000034,3.40E-09,0.0034
0.000000341,3.30E-09,0.0033
0.000000342,3.30E-09,0.0033
0.000000343,3.20E-09,0.0032
0.000000344,3.20E-09,0.0032
0.000000345,3.10E-09,0.0031
0.000000346,3.10E-09,0.0031
0.000000347,0.000000003,0.003
0.000000348,0.000000003,0.003
0.000000349,2.90E-09,0.0029
0.00000035,2.90E-09,0.0029
0.000000351,2.80E-09,0.0028
0.000000352,2.80E-09,0.0028
0.000000353,2.70E-09,0.0027
0.000000354,2.70E-09,0.0027
0.000000355,2.70E-09,0.0027
0.000000356,2.60E-09,0.0026
0.000000357,2.60E-09,0.0026
0.000000358,2.50E-09,0.0025
0.000000359,2.50E-09,0.0025
0.00000036,2.50E-09,0.0025
0.000000361,2.40E-09,0.0024
0.000000362,2.40E-09,0.0024
0.000000363,2.40E-09,0.0024
0.000000364,2.30E-09,0.0023
0.000000365,2.30E-09,0.0023
0.000000366,2.20E-09,0.0022
0.000000367,2.20E-09,0.0022
0.000000368,2.20E-09,0.0022
0.000000369,2.10E-09,0.0021
0.00000037,2.10E-09,0.0021
0.000000371,2.10E-09,0.0021
0.000000372,0.000000002,0.002
0.000000373,0.000000002,0.002
0.000000374,0.000000002,0.002
0.000000375,0.000000002,0.002
0.000000376,1.90E-09,0.0019
0.000000377,1.90E-09,0.0019
