x0000,y0000,y_tun
0,7.97E-08,0.0797
0.000000001,1.54E-07,0.1536
0.000000002,2.22E-07,0.2221
0.000000003,2.86E-07,0.2855
0.000000004,3.44E-07,0.3443
0.000000005,3.99E-07,0.3987
0.000000006,4.49E-07,0.4491
0.000000007,4.96E-07,0.4956
0.000000008,5.39E-07,0.5385
0.000000009,5.78E-07,0.5782
0.00000001,6.15E-07,0.6148
0.000000011,6.49E-07,0.6485
0.000000012,6.80E-07,0.6795
0.000000013,0.000000708,0.708
0.000000014,7.34E-07,0.7341
0.000000015,7.58E-07,0.7581
0.000000016,7.80E-07,0.7801
0.000000017,8.00E-07,0.8002
0.000000018,8.19E-07,0.8185
0.000000019,8.35E-07,0.8351
0.00000002,8.50E-07,0.8503
0.000000021,0.000000864,0.864
0.000000022,8.76E-07,0.8764
0.000000023,8.88E-07,0.8875
0.000000024,8.98E-07,0.8975
0.000000025,9.06E-07,0.9064
0.000000026,9.14E-07,0.9143
0.000000027,9.21E-07,0.9213
0.000000028,9.28E-07,0.9275
0.000000029,9.33E-07,0.9328
0.00000003,9.37E-07,0.9373
0.000000031,9.41E-07,0.9412
0.000000032,9.44E-07,0.9444
0.000000033,9.47E-07,0.9471
0.000000034,9.49E-07,0.9491
0.000000035,9.51E-07,0.9507
0.000000036,9.52E-07,0.9517
0.000000037,9.52E-07,0.9523
0.000000038,9.53E-07,0.9525
0.000000039,9.52E-07,0.9523
0.00000004,9.52E-07,0.9517
0.000000041,9.51E-07,0.9508
0.000000042,9.50E-07,0.9496
0.000000043,9.48E-07,0.9482
0.000000044,9.46E-07,0.9464
0.000000045,9.44E-07,0.9444
0.000000046,9.42E-07,0.9422
0.000000047,9.40E-07,0.9397
0.000000048,9.37E-07,0.9371
0.000000049,9.34E-07,0.9343
0.00000005,9.31E-07,0.9313
0.000000051,9.28E-07,0.9282
0.000000052,0.000000925,0.925
0.000000053,9.22E-07,0.9216
0.000000054,9.18E-07,0.9181
0.000000055,9.14E-07,0.9144
0.000000056,9.11E-07,0.9107
0.000000057,9.07E-07,0.9069
0.000000058,0.000000903,0.903
0.000000059,8.99E-07,0.8991
0.00000006,8.95E-07,0.8951
0.000000061,0.000000891,0.891
0.000000062,8.87E-07,0.8868
0.000000063,8.83E-07,0.8826
0.000000064,8.78E-07,0.8784
0.000000065,8.74E-07,0.8741
0.000000066,8.70E-07,0.8698
0.000000067,8.66E-07,0.8655
0.000000068,8.61E-07,0.8611
0.000000069,8.57E-07,0.8567
0.00000007,8.52E-07,0.8523
0.000000071,8.48E-07,0.8479
0.000000072,8.44E-07,0.8435
0.000000073,0.000000839,0.839
0.000000074,8.35E-07,0.8346
0.000000075,8.30E-07,0.8301
0.000000076,8.26E-07,0.8256
0.000000077,8.21E-07,0.8211
0.000000078,8.17E-07,0.8167
0.000000079,8.12E-07,0.8122
0.00000008,8.08E-07,0.8077
0.000000081,8.03E-07,0.8033
0.000000082,7.99E-07,0.7988
0.000000083,7.94E-07,0.7944
0.000000084,7.90E-07,0.7899
0.000000085,7.86E-07,0.7855
0.000000086,7.81E-07,0.7811
0.000000087,7.77E-07,0.7767
0.000000088,7.72E-07,0.7723
0.000000089,7.68E-07,0.7679
0.00000009,7.64E-07,0.7636
0.000000091,7.59E-07,0.7592
0.000000092,7.55E-07,0.7549
0.000000093,7.51E-07,0.7506
0.000000094,7.46E-07,0.7463
0.000000095,0.000000742,0.742
0.000000096,7.38E-07,0.7377
0.000000097,7.34E-07,0.7335
0.000000098,7.29E-07,0.7293
0.000000099,0.000000725,0.725
0.0000001,7.21E-07,0.7209
0.000000101,7.17E-07,0.7167
0.000000102,7.13E-07,0.7125
0.000000103,7.08E-07,0.7084
0.000000104,7.04E-07,0.7043
0.000000105,7.00E-07,0.7002
0.000000106,6.96E-07,0.6961
0.000000107,6.92E-07,0.6921
0.000000108,0.000000688,0.688
0.000000109,0.000000684,0.684
0.00000011,0.00000068,0.68
0.000000111,6.76E-07,0.6761
0.000000112,6.72E-07,0.6721
0.000000113,6.68E-07,0.6682
0.000000114,6.64E-07,0.6643
0.000000115,6.60E-07,0.6604
0.000000116,6.57E-07,0.6565
0.000000117,6.53E-07,0.6527
0.000000118,6.49E-07,0.6489
0.000000119,6.45E-07,0.6451
0.00000012,6.41E-07,0.6413
0.000000121,6.38E-07,0.6375
0.000000122,6.34E-07,0.6338
0.000000123,6.30E-07,0.6301
0.000000124,6.26E-07,0.6264
0.000000125,6.23E-07,0.6227
0.000000126,6.19E-07,0.6191
0.000000127,6.15E-07,0.6154
0.000000128,6.12E-07,0.6118
0.000000129,6.08E-07,0.6082
0.00000013,6.05E-07,0.6046
0.000000131,6.01E-07,0.6011
0.000000132,5.98E-07,0.5976
0.000000133,0.000000594,0.594
0.000000134,5.91E-07,0.5906
0.000000135,5.87E-07,0.5871
0.000000136,5.84E-07,0.5836
0.000000137,5.80E-07,0.5802
0.000000138,5.77E-07,0.5768
0.000000139,5.73E-07,0.5734
0.00000014,0.00000057,0.57
0.000000141,5.67E-07,0.5667
0.000000142,5.63E-07,0.5633
0.000000143,0.00000056,0.56
0.000000144,5.57E-07,0.5567
0.000000145,5.53E-07,0.5534
0.000000146,5.50E-07,0.5502
0.000000147,0.000000547,0.547
0.000000148,5.44E-07,0.5437
0.000000149,5.41E-07,0.5405
0.00000015,5.37E-07,0.5374
0.000000151,5.34E-07,0.5342
0.000000152,0.000000531,0.531
0.000000153,5.28E-07,0.5279
0.000000154,5.25E-07,0.5248
0.000000155,5.22E-07,0.5217
0.000000156,5.19E-07,0.5186
0.000000157,5.16E-07,0.5156
0.000000158,5.13E-07,0.5126
0.000000159,5.10E-07,0.5095
0.00000016,5.07E-07,0.5065
0.000000161,5.04E-07,0.5036
0.000000162,5.01E-07,0.5006
0.000000163,4.98E-07,0.4976
0.000000164,4.95E-07,0.4947
0.000000165,4.92E-07,0.4918
0.000000166,4.89E-07,0.4889
0.000000167,0.000000486,0.486
0.000000168,4.83E-07,0.4832
0.000000169,4.80E-07,0.4803
0.00000017,4.78E-07,0.4775
0.000000171,4.75E-07,0.4747
0.000000172,4.72E-07,0.4719
0.000000173,4.69E-07,0.4691
0.000000174,4.66E-07,0.4663
0.000000175,4.64E-07,0.4636
0.000000176,4.61E-07,0.4609
0.000000177,4.58E-07,0.4581
0.000000178,4.55E-07,0.4554
0.000000179,4.53E-07,0.4528
0.00000018,4.50E-07,0.4501
0.000000181,4.47E-07,0.4474
0.000000182,4.45E-07,0.4448
0.000000183,4.42E-07,0.4422
0.000000184,4.40E-07,0.4396
0.000000185,0.000000437,0.437
0.000000186,4.34E-07,0.4344
0.000000187,4.32E-07,0.4319
0.000000188,4.29E-07,0.4293
0.000000189,4.27E-07,0.4268
0.00000019,4.24E-07,0.4243
0.000000191,4.22E-07,0.4218
0.000000192,4.19E-07,0.4193
0.000000193,4.17E-07,0.4168
0.000000194,4.14E-07,0.4144
0.000000195,4.12E-07,0.4119
0.000000196,4.10E-07,0.4095
0.000000197,4.07E-07,0.4071
0.000000198,4.05E-07,0.4047
0.000000199,4.02E-07,0.4023
0.0000002,4.00E-07,0.3999
0.000000201,3.98E-07,0.3976
0.000000202,3.95E-07,0.3952
0.000000203,3.93E-07,0.3929
0.000000204,3.91E-07,0.3906
0.000000205,3.88E-07,0.3883
0.000000206,0.000000386,0.386
0.000000207,3.84E-07,0.3837
0.000000208,3.82E-07,0.3815
0.000000209,3.79E-07,0.3792
0.00000021,0.000000377,0.377
0.000000211,3.75E-07,0.3748
0.000000212,3.73E-07,0.3726
0.000000213,3.70E-07,0.3704
0.000000214,3.68E-07,0.3682
0.000000215,0.000000366,0.366
0.000000216,3.64E-07,0.3639
0.000000217,3.62E-07,0.3617
0.000000218,3.60E-07,0.3596
0.000000219,3.58E-07,0.3575
0.00000022,3.55E-07,0.3554
0.000000221,3.53E-07,0.3533
0.000000222,3.51E-07,0.3512
0.000000223,3.49E-07,0.3491
0.000000224,3.47E-07,0.3471
0.000000225,0.000000345,0.345
0.000000226,0.000000343,0.343
0.000000227,0.000000341,0.341
0.000000228,0.000000339,0.339
0.000000229,0.000000337,0.337
0.00000023,0.000000335,0.335
0.000000231,0.000000333,0.333
0.000000232,0.000000331,0.331
0.000000233,3.29E-07,0.3291
0.000000234,3.27E-07,0.3271
0.000000235,3.25E-07,0.3252
0.000000236,3.23E-07,0.3233
0.000000237,3.21E-07,0.3214
0.000000238,3.20E-07,0.3195
0.000000239,3.18E-07,0.3176
0.00000024,3.16E-07,0.3158
0.000000241,3.14E-07,0.3139
0.000000242,0.000000312,0.312
0.000000243,3.10E-07,0.3102
0.000000244,3.08E-07,0.3084
0.000000245,3.07E-07,0.3066
0.000000246,3.05E-07,0.3048
0.000000247,0.000000303,0.303
0.000000248,3.01E-07,0.3012
0.000000249,2.99E-07,0.2994
0.00000025,2.98E-07,0.2976
0.000000251,2.96E-07,0.2959
0.000000252,2.94E-07,0.2941
0.000000253,2.92E-07,0.2924
0.000000254,2.91E-07,0.2907
0.000000255,0.000000289,0.289
0.000000256,2.87E-07,0.2873
0.000000257,2.86E-07,0.2856
0.000000258,2.84E-07,0.2839
0.000000259,2.82E-07,0.2822
0.00000026,2.81E-07,0.2806
0.000000261,2.79E-07,0.2789
0.000000262,2.77E-07,0.2773
0.000000263,2.76E-07,0.2756
0.000000264,0.000000274,0.274
0.000000265,2.72E-07,0.2724
0.000000266,2.71E-07,0.2708
0.000000267,2.69E-07,0.2692
0.000000268,2.68E-07,0.2676
0.000000269,0.000000266,0.266
0.00000027,2.65E-07,0.2645
0.000000271,2.63E-07,0.2629
0.000000272,2.61E-07,0.2614
0.000000273,2.60E-07,0.2598
0.000000274,2.58E-07,0.2583
0.000000275,2.57E-07,0.2568
0.000000276,2.55E-07,0.2553
0.000000277,2.54E-07,0.2538
0.000000278,2.52E-07,0.2523
0.000000279,2.51E-07,0.2508
